figure,file,sha256,pixels,captureDate,source,apkSha256,scenario,player,region,centerWorld,span,yaw,tilt,quality,grid_requested,territory_requested,turn,UI,PC_reference,caveat
F06S,runtime/images/r09-luoyang-22-90-surface.png,0876adb746ea1c08e92c2afb4985d7497ef792accb3f552c929e247da5d42dfe,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",22.0,90.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F06U,runtime/images/r09-luoyang-22-90-ui.png,30f7ffe605280543717d6d8fa1fd556c9001a78d90d77e70dd3830127783ad13,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,76.5",22.0,90.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F07S,runtime/images/r09-site-129-79-0-surface.png,fcc3324e930c505f39bac3da8b543bd5c4001462a9cfc8a3be2e5b7a015042f8,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,69.5",5.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F07U,runtime/images/r09-site-129-79-0-ui.png,d445bcc3dafa761e05c758b1e76f04bbdedaef5804ba43f7658e02a1556ba668,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,69.5",5.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F08S,runtime/images/r09-site-129-79-90-surface.png,fc8f10a9db2c24df18e71004a609ed7e188f9df5a8ea84a2a0a465db23996ebf,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,69.5",5.0,90.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F08U,runtime/images/r09-site-129-79-90-ui.png,cf7d5125079c0e802bc58b77a52beaf9d8db9ae6ea3835b8f5e151b31cbb1612,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,69.5",5.0,90.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F09S,runtime/images/r09-site-131-90-0-surface.png,058e318e61942406f74fc731c17a129ff480d68e4b4f89854a170d1295f7b98f,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"90.0,77.0",5.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F09U,runtime/images/r09-site-131-90-0-ui.png,5492b9193e1283c97e21fd1713711d029d3867f9daa1a923c2603a662abd68e6,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"90.0,77.0",5.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F10S,runtime/images/r09-site-131-90-90-surface.png,1b1199a21a9ad8d974da946f64a3daa15eee2a12abff35aee54a5b2cc3f70ae8,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"90.0,77.0",5.0,90.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F10U,runtime/images/r09-site-131-90-90-ui.png,35d8cea9d962f9b427664595ad3f1b3a9c8df8b9e8f8b549d8a791e604455007,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"90.0,77.0",5.0,90.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F11S,runtime/images/r09-overlay-false-0-surface.png,023b11691943629a9a435559a3d8a1745e512b12aa770de33d7547608eed1741,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F11U,runtime/images/r09-overlay-false-0-ui.png,14a9ea2c7c7d78585704487b9b6d398e737e755c28a93ff16fa65b9fd9bc9964,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F12S,runtime/images/r09-overlay-false-1-surface.png,d5f9e2215dbc782f8f8cc4ec34a815328dda169afe73413cce3bd255005cbb60,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,false,1,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F12U,runtime/images/r09-overlay-false-1-ui.png,47f1108c0349f7384c2741b07b8187d2cfea3c0b02ae43bbb4e218be3216e493,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,false,1,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F13S,runtime/images/r09-overlay-true-0-surface.png,ba5a31c5bfa368b6bfbbded6d59e693537c28809d7e8e2c36a4866f7d8a9ea2d,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,true,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F13U,runtime/images/r09-overlay-true-0-ui.png,4f48d16cfd86f53638634df53223f6751afbef7d95d9e6226adc1b1ba04b86fa,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,true,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F14S,runtime/images/r09-overlay-true-1-surface.png,e76ac67d16fae1c4d343a314195173818b3a52ec09102a7eb4439cbc4d62cf59,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,true,1,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F14U,runtime/images/r09-overlay-true-1-ui.png,0441a0020f8ab62f2f575a206e88a3a838d8c8c0f646cfeb23b6dc6a5de37f8b,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,true,1,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F15S,runtime/images/r09-quality-LOW-surface.png,a8120c19877a464fcee2d51430fa2518ecc57d7b96f0d2ac3761d786e933e597,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,LOW,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F15U,runtime/images/r09-quality-LOW-ui.png,7085b6f185370cc7f2a2cacbe5aa0c35f4d107c264b45b78d34fba71575f2991,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,LOW,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F16S,runtime/images/r09-quality-MEDIUM-surface.png,27c2930e585dada6c4644ae32900992a43e47ebcf22ed155724ac97ece858d63,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F16U,runtime/images/r09-quality-MEDIUM-ui.png,e6448544815924de992496778507cd9cbcca3a8cc8b90bb2a8505c89c760bbac,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F17S,runtime/images/r09-quality-HIGH-surface.png,d98bab76326bf4bd3e5b5b149079ffb3f1bdc32193ae4db4984ba26848e093cf,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,HIGH,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F17U,runtime/images/r09-quality-HIGH-ui.png,cdff20764b3ac086ac1f3efaecec4e81210e5f5c19834d6b78f6524e1f214861,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,77.0",14.0,0.0,48.0,HIGH,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F18S,runtime/images/r09-cruise-end-surface.png,eef35cbaca7934657607664e1fcb529a3cf70cd0dd8dd865231b9b072cc298ce,1080x1348,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,79.0",14.0,110.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F18U,runtime/images/r09-cruise-end-ui.png,de1971b5ef82443bde61862c5f5b1dd2fe55e210a1fe44b0e0c393a1798371be,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"84.0,79.0",14.0,110.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F19S,runtime/images/r09-deploy-surface.png,8804d9071c142367869cc88346d2bc51c7a1579f12b08dba04179e54427b0654,1080x1103,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,74.5",10.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F19U,runtime/images/r09-deploy-ui.png,0fb5282fbb2cffe36f89bd2fec65a9e3eef2e618183d55a3b4364976dc23cbbb,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,74.5",10.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F20S,runtime/images/r09-port-approach-surface.png,ff5fb8e0c44a8ee17d64bb39b7d253c37ea51b6fec73cc1802349dbc57b0a635,1080x1103,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"80.0,70.0",5.0,0.0,48.0,MEDIUM,false,0,0,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F20U,runtime/images/r09-port-approach-ui.png,b2c21c37131884ee35ae8c83f17d2e7d7e1239222887caeea15c960a002e1368,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"80.0,70.0",5.0,0.0,48.0,MEDIUM,false,0,0,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F21S,runtime/images/r09-next-turn-surface.png,da554c225be59e504435513be0c0ebc0b03da22fd3bfac854aa02902560f1cf4,1080x1172,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"80.0,70.0",5.0,0.0,48.0,MEDIUM,false,0,1,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F21U,runtime/images/r09-next-turn-ui.png,7d4c067bb56810ecbe50b205df35d483e072abc37df9c01a3e0e525741c8fb3b,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"80.0,70.0",5.0,0.0,48.0,MEDIUM,false,0,1,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F22S,runtime/images/r09-embarked-surface.png,fcf62d27034e64f82f0906ef7b753f037dfcc54d5f7464ed3713141339177324,1080x1037,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,68.5",5.0,0.0,48.0,MEDIUM,false,0,1,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F22U,runtime/images/r09-embarked-ui.png,7eefcae3313e669813de918c2bc4ed34e2abc2d4a1dad427b5ffb4f890a56d5d,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,68.5",5.0,0.0,48.0,MEDIUM,false,0,1,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F23S,runtime/images/r09-landed-port-surface.png,431b4c33a0d9c4425134de471e5ddda5efbcccd5ac0af23f15ef7e589268acba,1080x1147,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,68.5",5.0,0.0,48.0,MEDIUM,false,0,1,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F23U,runtime/images/r09-landed-port-ui.png,e524e995adb71c6ffe409d39869e8f8d51d8479a35ac594c0cf9666efb70afc2,1080x1920,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"79.0,68.5",5.0,0.0,48.0,MEDIUM,false,0,1,included,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
F24S,runtime/images/r09-attack-march-0-surface.png,8c17581aa53d13770a877986c4676f62067d95cc9cad4c45f89dd513f3bf7fbe,1080x1037,2026-09-24,dd11eeaaf7866ed2695e16ee3a093d05291b011a,0970bfbb9bda2a0bf0f16e36c7a83cab300adc61feebeb9db41e123598d7da31,coalition-190,5,q120..151/r68..99,"85.0,76.5",5.0,0.0,48.0,MEDIUM,false,0,1,excluded,PC-LUOYANG-USER-02-R09; exact camera/season UNKNOWN,Raw TXT reference missing field predates user URL. UI refresh/overlay coherence FAIL; requested controls do not prove correct displayed overlay.
