officerId	bloodline	affinity	naturalDeath	source
10097	97	140	X	rlu-officers
10099	99	7	O	rlu-officers
10100	100	7	X	rlu-officers
10101	101	39	X	rlu-officers
10102	101	39	X	rlu-officers
10103	101	39	X	rlu-officers
10104	104	98	X	rlu-officers
10105	105	9	X	rlu-officers
10106	105	27	X	rlu-officers
10107	98	75	O	rlu-officers
10108	98	75	O	rlu-officers
10109	109	48	X	rlu-officers
10110	110	40	O	rlu-officers
10111	111	65	X	rlu-officers
10112	112	8	X	rlu-officers
10113	113	127	O	rlu-officers
10114	114	7	X	rlu-officers
10115	98	75	O	rlu-officers
10116	116	126	O	rlu-officers
10117	117	19	X	rlu-officers
10119	119	21	X	rlu-officers
10120	120	93	O	rlu-officers
10121	98	75	X	rlu-officers
10122	122	73	O	rlu-officers
10123	123	102	X	rlu-officers
10124	124	80	X	rlu-officers
10125	125	99	X	rlu-officers
10126	126	22	O	rlu-officers
10127	127	147	X	rlu-officers
10128	128	129	O	rlu-officers
10129	129	37	X	rlu-officers
10130	130	96	O	rlu-officers
10131	131	27	O	rlu-officers
10132	132	33	O	rlu-officers
10133	493	1	X	rlu-officers
10134	134	41	O	rlu-officers
10135	135	67	X	rlu-officers
10136	136	73	X	rlu-officers
10137	137	83	O	rlu-officers
10138	138	137	X	rlu-officers
10139	139	74	X	rlu-officers
10140	711	98	X	rlu-officers
10141	144	23	X	rlu-officers
10142	142	139	X	rlu-officers
10143	143	87	O	rlu-officers
10144	144	25	O	rlu-officers
10145	145	21	X	rlu-officers
10146	146	140	X	rlu-officers
10147	149	34	X	rlu-officers
10148	148	62	X	rlu-officers
10149	149	46	X	rlu-officers
10150	151	122	O	rlu-officers
10151	151	122	O	rlu-officers
10152	152	12	X	rlu-officers
10153	153	80	O	rlu-officers
10154	154	69	O	rlu-officers
10155	158	40	O	rlu-officers
10156	156	64	O	rlu-officers
10157	157	121	O	rlu-officers
10158	158	30	O	rlu-officers
10159	159	7	O	rlu-officers
10160	160	10	X	rlu-officers
10161	160	10	X	rlu-officers
10162	162	69	O	rlu-officers
10163	163	127	O	rlu-officers
10164	164	101	X	rlu-officers
10165	710	75	O	rlu-officers
10166	166	56	O	rlu-officers
10167	167	50	X	rlu-officers
10168	164	101	O	rlu-officers
10169	169	144	X	rlu-officers
10170	170	69	O	rlu-officers
10171	171	7	X	rlu-officers
10172	166	56	X	rlu-officers
10173	173	147	O	rlu-officers
10174	174	48	O	rlu-officers
10175	175	45	X	rlu-officers
10176	180	65	X	rlu-officers
10177	182	10	X	rlu-officers
10178	182	142	O	rlu-officers
10179	182	142	O	rlu-officers
10180	180	65	X	rlu-officers
10181	180	65	X	rlu-officers
10182	182	142	O	rlu-officers
10183	180	65	O	rlu-officers
10184	184	35	O	rlu-officers
10186	186	63	O	rlu-officers
10187	187	27	O	rlu-officers
10188	188	53	X	rlu-officers
10189	189	88	O	rlu-officers
10190	190	43	X	rlu-officers
10191	191	27	X	rlu-officers
10192	192	126	X	rlu-officers
10193	193	39	X	rlu-officers
10194	194	21	O	rlu-officers
10195	198	126	O	rlu-officers
10196	196	128	O	rlu-officers
10197	197	133	O	rlu-officers
10198	198	125	O	rlu-officers
10199	199	76	O	rlu-officers
10200	200	126	X	rlu-officers
10201	201	29	O	rlu-officers
10202	202	19	O	rlu-officers
10203	203	148	O	rlu-officers
10204	204	20	O	rlu-officers
10205	205	149	X	rlu-officers
10206	211	120	O	rlu-officers
10207	207	51	X	rlu-officers
10208	208	76	O	rlu-officers
10209	162	72	X	rlu-officers
10210	204	20	O	rlu-officers
10211	211	120	O	rlu-officers
10212	212	59	X	rlu-officers
10213	204	30	O	rlu-officers
10214	214	20	X	rlu-officers
10215	215	22	O	rlu-officers
10216	219	36	X	rlu-officers
10217	219	36	X	rlu-officers
10218	219	36	X	rlu-officers
10219	219	36	X	rlu-officers
10220	214	22	O	rlu-officers
10221	221	122	O	rlu-officers
10222	222	11	X	rlu-officers
10223	223	129	O	rlu-officers
10224	224	41	X	rlu-officers
10225	225	31	O	rlu-officers
10226	225	31	O	rlu-officers
10227	225	31	O	rlu-officers
10228	225	31	O	rlu-officers
10229	225	31	O	rlu-officers
10230	225	24	O	rlu-officers
10231	225	24	O	rlu-officers
10232	225	30	O	rlu-officers
10233	225	20	O	rlu-officers
10234	234	132	X	rlu-officers
10235	235	21	X	rlu-officers
10236	236	71	X	rlu-officers
10237	246	128	X	rlu-officers
10238	238	11	X	rlu-officers
10239	238	115	O	rlu-officers
10240	240	32	O	rlu-officers
10241	241	75	X	rlu-officers
10242	242	126	O	rlu-officers
10243	243	41	O	rlu-officers
10244	244	118	O	rlu-officers
10246	246	128	O	rlu-officers
10247	246	128	X	rlu-officers
10248	248	60	O	rlu-officers
10249	249	88	O	rlu-officers
10250	251	126	O	rlu-officers
10251	251	126	O	rlu-officers
10252	252	52	X	rlu-officers
10253	253	36	O	rlu-officers
10255	255	95	X	rlu-officers
10256	254	31	O	rlu-officers
10257	254	31	O	rlu-officers
10258	254	85	O	rlu-officers
10259	254	22	X	rlu-officers
10260	260	135	O	rlu-officers
10261	276	22	O	rlu-officers
10262	262	78	O	rlu-officers
10263	276	20	X	rlu-officers
10264	264	34	O	rlu-officers
10265	265	104	O	rlu-officers
10266	711	125	O	rlu-officers
10267	267	126	O	rlu-officers
10268	268	32	O	rlu-officers
10269	269	66	O	rlu-officers
10270	270	62	O	rlu-officers
10271	271	39	X	rlu-officers
10272	272	79	X	rlu-officers
10273	273	31	O	rlu-officers
10274	274	135	O	rlu-officers
10275	262	78	X	rlu-officers
10276	276	22	O	rlu-officers
10277	277	121	O	rlu-officers
10278	272	79	O	rlu-officers
10279	279	142	X	rlu-officers
10280	289	121	X	rlu-officers
10281	289	81	O	rlu-officers
10282	289	121	O	rlu-officers
10283	289	76	O	rlu-officers
10284	284	40	O	rlu-officers
10285	289	75	X	rlu-officers
10286	289	135	O	rlu-officers
10287	289	75	X	rlu-officers
10288	289	135	X	rlu-officers
10290	290	23	X	rlu-officers
10291	291	125	O	rlu-officers
10292	292	23	X	rlu-officers
10293	293	75	O	rlu-officers
10294	294	124	O	rlu-officers
10295	295	35	O	rlu-officers
10296	296	126	X	rlu-officers
10297	302	37	O	rlu-officers
10298	304	29	O	rlu-officers
10299	299	114	X	rlu-officers
10300	300	25	O	rlu-officers
10301	304	29	O	rlu-officers
10302	302	37	O	rlu-officers
10303	303	101	X	rlu-officers
10304	304	29	O	rlu-officers
10305	304	85	X	rlu-officers
10306	306	66	O	rlu-officers
10307	307	25	X	rlu-officers
10308	308	98	X	rlu-officers
10309	309	8	X	rlu-officers
10310	310	148	X	rlu-officers
10311	311	71	O	rlu-officers
10312	312	65	X	rlu-officers
10313	313	69	X	rlu-officers
10314	314	36	O	rlu-officers
10315	315	126	O	rlu-officers
10316	316	32	O	rlu-officers
10317	319	131	O	rlu-officers
10318	319	128	O	rlu-officers
10319	319	128	O	rlu-officers
10320	325	130	O	rlu-officers
10321	325	130	O	rlu-officers
10322	325	128	X	rlu-officers
10323	323	64	O	rlu-officers
10324	325	128	X	rlu-officers
10325	325	128	O	rlu-officers
10326	325	130	O	rlu-officers
10327	343	26	O	rlu-officers
10328	343	25	O	rlu-officers
10329	343	26	O	rlu-officers
10330	343	19	X	rlu-officers
10331	343	26	O	rlu-officers
10332	343	19	X	rlu-officers
10333	333	147	X	rlu-officers
10334	334	123	O	rlu-officers
10335	343	25	X	rlu-officers
10336	343	24	O	rlu-officers
10337	343	25	O	rlu-officers
10338	343	25	O	rlu-officers
10339	343	25	O	rlu-officers
10340	343	26	O	rlu-officers
10341	343	25	O	rlu-officers
10342	342	147	X	rlu-officers
10344	343	19	X	rlu-officers
10345	343	25	O	rlu-officers
10346	346	17	O	rlu-officers
10347	343	26	O	rlu-officers
10348	348	84	X	rlu-officers
10349	343	26	O	rlu-officers
10350	343	24	X	rlu-officers
10351	343	25	X	rlu-officers
10352	353	96	X	rlu-officers
10353	353	96	X	rlu-officers
10354	354	129	O	rlu-officers
10355	355	127	X	rlu-officers
10356	356	46	O	rlu-officers
10357	359	122	O	rlu-officers
10358	365	125	X	rlu-officers
10359	359	127	O	rlu-officers
10360	360	27	X	rlu-officers
10361	361	116	O	rlu-officers
10362	365	125	O	rlu-officers
10363	365	125	O	rlu-officers
10364	365	117	X	rlu-officers
10365	365	126	X	rlu-officers
10366	366	76	O	rlu-officers
10368	365	114	O	rlu-officers
10369	365	126	O	rlu-officers
10370	365	125	X	rlu-officers
10371	365	125	O	rlu-officers
10372	365	130	O	rlu-officers
10373	365	115	O	rlu-officers
10374	359	124	O	rlu-officers
10375	365	125	X	rlu-officers
10376	365	125	X	rlu-officers
10377	365	126	O	rlu-officers
10378	378	7	X	rlu-officers
10379	365	115	X	rlu-officers
10380	365	125	O	rlu-officers
10381	365	125	O	rlu-officers
10382	365	125	X	rlu-officers
10383	365	125	O	rlu-officers
10384	384	20	O	rlu-officers
10385	365	125	O	rlu-officers
10386	365	125	O	rlu-officers
10387	711	125	O	rlu-officers
10388	389	124	O	rlu-officers
10390	248	60	O	rlu-officers
10391	391	28	O	rlu-officers
10392	392	60	X	rlu-officers
10393	393	132	X	rlu-officers
10394	394	36	O	rlu-officers
10396	442	15	X	rlu-officers
10397	397	11	X	rlu-officers
10398	398	8	O	rlu-officers
10399	399	48	X	rlu-officers
10400	400	118	O	rlu-officers
10401	401	31	O	rlu-officers
10402	402	7	O	rlu-officers
10403	403	7	O	rlu-officers
10404	404	21	O	rlu-officers
10405	419	120	O	rlu-officers
10406	406	29	O	rlu-officers
10407	407	68	X	rlu-officers
10408	408	141	O	rlu-officers
10409	439	23	O	rlu-officers
10410	410	122	O	rlu-officers
10411	411	27	X	rlu-officers
10412	395	75	X	rlu-officers
10413	413	7	X	rlu-officers
10414	415	148	X	rlu-officers
10415	415	148	X	rlu-officers
10416	404	20	X	rlu-officers
10417	432	75	X	rlu-officers
10418	418	31	O	rlu-officers
10419	419	120	O	rlu-officers
10420	420	72	X	rlu-officers
10421	432	78	O	rlu-officers
10422	419	124	O	rlu-officers
10423	423	56	X	rlu-officers
10424	25	145	X	rlu-officers
10425	425	126	X	rlu-officers
10426	395	75	O	rlu-officers
10427	427	39	O	rlu-officers
10428	428	39	X	rlu-officers
10429	429	74	X	rlu-officers
10430	430	100	X	rlu-officers
10431	431	83	O	rlu-officers
10433	433	113	X	rlu-officers
10434	432	75	X	rlu-officers
10435	403	7	X	rlu-officers
10436	436	7	X	rlu-officers
10437	437	145	X	rlu-officers
10438	438	68	X	rlu-officers
10440	403	7	X	rlu-officers
10441	441	74	X	rlu-officers
10442	442	15	O	rlu-officers
10443	443	11	X	rlu-officers
10444	444	12	X	rlu-officers
10445	445	140	X	rlu-officers
10446	446	143	X	rlu-officers
10447	447	29	O	rlu-officers
10448	448	28	O	rlu-officers
10449	449	79	O	rlu-officers
10450	447	29	O	rlu-officers
10451	452	50	O	rlu-officers
10452	452	81	X	rlu-officers
10453	453	79	O	rlu-officers
10454	448	28	O	rlu-officers
10455	449	79	O	rlu-officers
10456	456	72	O	rlu-officers
10457	458	124	O	rlu-officers
10458	458	124	X	rlu-officers
10459	459	142	X	rlu-officers
10460	460	37	O	rlu-officers
10461	461	24	O	rlu-officers
10462	462	7	X	rlu-officers
10463	463	22	X	rlu-officers
10464	464	69	X	rlu-officers
10465	465	88	X	rlu-officers
10466	466	126	O	rlu-officers
10467	461	24	O	rlu-officers
10468	468	119	O	rlu-officers
10469	469	123	O	rlu-officers
10470	469	123	O	rlu-officers
10471	471	25	X	rlu-officers
10472	472	64	O	rlu-officers
10473	474	42	O	rlu-officers
10474	474	42	O	rlu-officers
10475	475	96	X	rlu-officers
10476	471	23	O	rlu-officers
10477	477	31	O	rlu-officers
10478	478	116	X	rlu-officers
10479	480	78	O	rlu-officers
10480	480	66	O	rlu-officers
10481	481	41	X	rlu-officers
10482	482	40	O	rlu-officers
10483	483	73	O	rlu-officers
10484	484	82	O	rlu-officers
10485	570	54	O	rlu-officers
10486	486	73	O	rlu-officers
10487	487	132	O	rlu-officers
10488	488	127	X	rlu-officers
10489	489	114	O	rlu-officers
10490	490	120	O	rlu-officers
10491	491	89	X	rlu-officers
10492	492	21	O	rlu-officers
10493	493	1	X	rlu-officers
10494	481	41	X	rlu-officers
10495	495	129	O	rlu-officers
10496	496	62	X	rlu-officers
10497	497	32	O	rlu-officers
10498	493	1	X	rlu-officers
10499	499	7	X	rlu-officers
10500	500	32	O	rlu-officers
10501	500	32	O	rlu-officers
10502	502	73	O	rlu-officers
10503	503	68	X	rlu-officers
10504	504	30	O	rlu-officers
10505	517	70	O	rlu-officers
10506	506	48	X	rlu-officers
10507	517	70	X	rlu-officers
10508	508	29	O	rlu-officers
10509	509	145	X	rlu-officers
10510	510	19	O	rlu-officers
10511	519	80	X	rlu-officers
10512	517	70	O	rlu-officers
10513	513	131	X	rlu-officers
10514	514	69	O	rlu-officers
10515	517	70	O	rlu-officers
10516	517	70	X	rlu-officers
10517	517	70	X	rlu-officers
10518	518	50	O	rlu-officers
10519	519	77	X	rlu-officers
10520	520	116	X	rlu-officers
10521	521	78	O	rlu-officers
10522	522	76	O	rlu-officers
10523	523	44	O	rlu-officers
10524	524	129	X	rlu-officers
10525	525	149	X	rlu-officers
10526	526	8	X	rlu-officers
10527	527	94	X	rlu-officers
10528	528	77	X	rlu-officers
10529	529	141	X	rlu-officers
10530	530	66	O	rlu-officers
10531	532	75	X	rlu-officers
10532	532	77	X	rlu-officers
10533	532	108	X	rlu-officers
10534	534	26	X	rlu-officers
10535	535	43	X	rlu-officers
10536	536	74	X	rlu-officers
10537	537	28	O	rlu-officers
10538	538	108	X	rlu-officers
10539	541	74	X	rlu-officers
10540	540	38	O	rlu-officers
10541	541	74	X	rlu-officers
10542	543	38	O	rlu-officers
10543	543	38	X	rlu-officers
10544	543	38	O	rlu-officers
10545	545	102	X	rlu-officers
10546	546	28	O	rlu-officers
10547	547	8	X	rlu-officers
10548	548	25	O	rlu-officers
10549	549	94	X	rlu-officers
10550	558	65	O	rlu-officers
10551	551	51	X	rlu-officers
10552	552	110	X	rlu-officers
10553	553	55	O	rlu-officers
10554	554	75	O	rlu-officers
10555	555	22	X	rlu-officers
10556	556	72	O	rlu-officers
10557	557	73	X	rlu-officers
10558	558	65	X	rlu-officers
10559	559	12	X	rlu-officers
10560	564	121	O	rlu-officers
10561	561	94	X	rlu-officers
10562	562	113	X	rlu-officers
10563	563	51	X	rlu-officers
10564	564	121	O	rlu-officers
10565	564	129	X	rlu-officers
10566	566	29	O	rlu-officers
10567	567	29	O	rlu-officers
10568	568	60	O	rlu-officers
10569	569	120	O	rlu-officers
10570	570	44	X	rlu-officers
10571	568	60	O	rlu-officers
10572	572	139	X	rlu-officers
10573	573	53	X	rlu-officers
10574	574	52	X	rlu-officers
10575	575	61	X	rlu-officers
10576	576	31	O	rlu-officers
10577	577	31	O	rlu-officers
10578	578	140	O	rlu-officers
10579	579	16	X	rlu-officers
10580	582	32	X	rlu-officers
10581	581	9	X	rlu-officers
10582	582	43	X	rlu-officers
10583	583	48	O	rlu-officers
10584	584	13	X	rlu-officers
10585	585	17	X	rlu-officers
10586	586	141	O	rlu-officers
10587	587	33	O	rlu-officers
10588	584	14	X	rlu-officers
10589	589	21	O	rlu-officers
10590	590	92	X	rlu-officers
10591	591	91	O	rlu-officers
10592	592	59	X	rlu-officers
10593	593	142	X	rlu-officers
10594	594	122	O	rlu-officers
10595	595	76	O	rlu-officers
10596	596	132	X	rlu-officers
10597	597	66	O	rlu-officers
10598	598	1	X	rlu-officers
10599	602	122	O	rlu-officers
10600	602	122	O	rlu-officers
10601	602	121	O	rlu-officers
10602	602	122	X	rlu-officers
10603	603	71	O	rlu-officers
10604	604	1	X	rlu-officers
10605	605	146	X	rlu-officers
10606	606	19	X	rlu-officers
10607	607	48	X	rlu-officers
10608	608	22	X	rlu-officers
10609	609	22	O	rlu-officers
10610	610	106	O	rlu-officers
10611	603	71	O	rlu-officers
10612	612	20	X	rlu-officers
10613	613	138	O	rlu-officers
10614	614	55	O	rlu-officers
10615	618	96	X	rlu-officers
10616	616	55	X	rlu-officers
10617	636	76	O	rlu-officers
10618	618	96	X	rlu-officers
10619	619	138	X	rlu-officers
10620	632	134	O	rlu-officers
10621	621	129	X	rlu-officers
10622	622	101	O	rlu-officers
10623	614	55	O	rlu-officers
10624	614	55	O	rlu-officers
10625	625	28	O	rlu-officers
10626	626	128	O	rlu-officers
10627	635	75	X	rlu-officers
10628	635	78	X	rlu-officers
10629	635	78	O	rlu-officers
10630	636	45	X	rlu-officers
10631	631	36	O	rlu-officers
10632	632	134	O	rlu-officers
10633	633	56	O	rlu-officers
10634	636	45	X	rlu-officers
10636	636	45	O	rlu-officers
10637	637	29	O	rlu-officers
10638	621	129	X	rlu-officers
10639	639	74	X	rlu-officers
10640	635	75	X	rlu-officers
10641	641	27	O	rlu-officers
10642	631	11	O	rlu-officers
10643	621	129	O	rlu-officers
10644	644	105	X	rlu-officers
10645	645	74	X	rlu-officers
10646	646	48	X	rlu-officers
10647	647	138	O	rlu-officers
10648	648	34	O	rlu-officers
10649	649	72	O	rlu-officers
10650	650	127	X	rlu-officers
10651	650	127	O	rlu-officers
10652	652	71	O	rlu-officers
10653	653	71	X	rlu-officers
10654	659	123	X	rlu-officers
10655	655	29	O	rlu-officers
10656	656	107	X	rlu-officers
10657	656	107	X	rlu-officers
10658	658	130	O	rlu-officers
10659	659	123	O	rlu-officers
10660	660	145	X	rlu-officers
10662	660	145	X	rlu-officers
10663	663	136	X	rlu-officers
10664	664	54	X	rlu-officers
10665	665	42	X	rlu-officers
10666	666	130	X	rlu-officers
10668	667	124	O	rlu-officers
10669	669	75	O	rlu-officers
