id	sourceId	name	stats	aptitudes	birth	death	appearance	skillId	status	source	relationsRaw	personality	gender
2005	63	郭嘉	51,15,98,84,78	BBBBBB	170	207	189	skill-065	collected	rlu-officers	親近武將=荀彧；親近武將_2=曹操；親近武將_3=程昱；親近武將_4=劉曄	冷靜	男
3000	367	孫權	76,67,80,89,95	BACCCA	182	252	196	skill-084	collected	rlu-officers	父親=孫堅；親近武將=周泰；親近武將_2=朱然；厭惡武將=張昭	剛膽	男
3001	245	周瑜	97,71,96,86,93	AASCCS	175	210	189	skill-062	cross-checked	rlu-officers	親近武將=小喬；親近武將_2=孫策；親近武將_3=程普；親近武將_4=呂蒙；親近武將_5=魯肅；厭惡武將=諸葛亮	冷靜	男
3002	667	魯肅	80,56,92,90,89	AAACAA	172	217	191	skill-087	collected	rlu-officers	親近武將=周瑜；親近武將_2=諸葛瑾；親近武將_3=呂蒙	冷靜	男
3003	118	甘寧	86,94,76,18,58	SAAASS	174	222	193	skill-010	collected	rlu-officers	親近武將=蘇飛；親近武將_2=凌統；厭惡武將=黃祖	豬突	男
3004	389	太史慈	82,93,66,58,79	ASCSCB	166	209	185	skill-043	collected	rlu-officers	親近武將=孫策	剛膽	男
3005	661	呂蒙	91,81,89,78,82	SABBSS	178	219	193	skill-022	collected	rlu-officers	親近武將=周瑜；親近武將_2=陸遜；親近武將_3=魯肅	剛膽	男
10000	0	阿會喃	65,74,26,33,44	CACBCC	190	225	217	none	collected	rlu-officers	親近武將=金環三結；親近武將_2=董荼那	豬突	男
10001	1	韋昭	16,19,65,73,70	CCCCBC	204	273	223	none	collected	rlu-officers	親近武將=華覈	剛膽	男
10002	2	伊籍	29,24,80,86,84	CCCCCB	162	226	189	skill-085	collected	rlu-officers	親近武將=劉備；親近武將_2=馬謖；親近武將_3=馬良	冷靜	男
10003	3	尹賞	51,44,61,66,53	CCBBCC	194	260	213	none	collected	rlu-officers	親近武將=姜維；親近武將_2=梁緒	冷靜	男
10004	4	尹大目	4,9,33,51,48	CCCCCC	211	270	230	none	collected	rlu-officers	親近武將=文欽	小心	男
10005	5	尹默	11,15,65,77,62	CCCCAC	183	239	212	skill-082	collected	rlu-officers	原表空白	小心	男
10006	6	于禁	84,78,70,57,53	ABCACB	159	221	184	skill-072	collected	rlu-officers	厭惡武將=龐德	剛膽	男
10007	7	于詮	64,76,40,39,67	ABCCBC	204	258	223	skill-028	collected	rlu-officers	原表空白	豬突	男
10008	8	衛瓘	69,46,79,78,28	CBACAC	220	291	239	skill-019	collected	rlu-officers	厭惡武將=鄧艾	小心	男
10009	9	袁遺	56,40,73,76,70	CBBCBC	150	193	184	skill-084	collected	rlu-officers	父親=20 02	剛膽	男
10010	10	袁胤	17,14,39,41,46	CCCCCC	163	199	184	none	collected	rlu-officers	父親=20 01	小心	男
10011	11	閻宇	52,61,58,59,20	BBCCBC	209	264	228	none	collected	rlu-officers	親近武將=黃皓；厭惡武將=姜維	小心	男
10012	12	袁渙	30,17,72,83,83	CBCBCC	165	225	184	skill-072	collected	rlu-officers	原表空白	冷靜	男
10013	13	袁熙	66,51,63,65,64	CCBCBC	176	207	190	skill-091	collected	rlu-officers	父親=袁紹	小心	男
10014	14	閻行	72,84,61,58,69	BBCACC	159	222	184	skill-081	collected	rlu-officers	原表空白	剛膽	男
10015	15	閻柔	71,57,70,73,78	CCAACC	168	227	189	skill-091	collected	rlu-officers	原表空白	剛膽	男
10016	16	袁術	44,65,61,16,39	BCCCCC	155	199	184	skill-058	collected	rlu-officers	父親=20 02；厭惡武將=袁紹；厭惡武將_2=曹操	小心	男
10017	17	袁尚	63,71,42,38,72	BCCBAC	179	207	193	none	collected	rlu-officers	父親=袁紹；母親=劉氏；親近武將=袁紹；親近武將_2=劉氏；厭惡武將=袁譚；厭惡武將_2=曹操	豬突	男
10018	18	袁紹	81,69,70,73,90	ACACSC	154	202	184	skill-079	collected	rlu-officers	父親=20 00；配偶=劉氏；親近武將=袁尚；厭惡武將=袁術；厭惡武將_2=董卓	剛膽	男
10019	19	閻象	30,27,70,74,51	CCCCBC	158	199	187	none	collected	rlu-officers	原表空白	冷靜	男
10020	20	袁譚	60,69,30,35,59	CBBCBC	173	205	187	none	collected	rlu-officers	父親=袁紹；厭惡武將=袁尚	豬突	男
10021	21	閻圃	29,25,82,79,70	CCCCBC	163	231	187	skill-088	collected	rlu-officers	原表空白	冷靜	男
10022	22	袁燿	41,50,41,51,53	CCBCCB	177	206	191	none	collected	rlu-officers	父親=袁術	小心	男
10023	23	王威	60,70,59,52,66	BCBCCA	163	208	192	none	collected	rlu-officers	原表空白	豬突	男
10024	24	王異	58,26,82,68,73	CBBBBC	171	230	190	skill-030	collected	rlu-officers	厭惡武將=馬超	剛膽	女
10025	25	王允	26,6,67,80,76	CCCCCC	137	192	184	skill-056	collected	rlu-officers	父親=20 03	小心	男
10026	26	王基	77,78,76,75,75	SBBASC	190	261	219	skill-034	collected	rlu-officers	原表空白	剛膽	男
10027	27	王頎	69,67,61,70,68	BCCAAC	217	281	236	skill-006	collected	rlu-officers	原表空白	剛膽	男
10028	28	王匡	65,55,61,70,80	CBBBCC	150	190	184	skill-095	collected	rlu-officers	原表空白	剛膽	男
10029	29	王業	33,6,35,66,49	CCCCCC	220	280	239	none	collected	rlu-officers	原表空白	小心	男
10030	30	王經	67,63,66,75,76	CBBBCC	206	260	225	none	collected	rlu-officers	親近武將=崔林	剛膽	男
10031	31	王伉	76,60,61,62,65	CABCBC	184	254	215	skill-028	collected	rlu-officers	親近武將=呂凱	剛膽	男
10032	32	王渾	76,76,72,74,69	ABABAS	223	297	240	skill-038	collected	rlu-officers	父親=王昶	冷靜	男
10033	33	王粲	6,3,79,80,56	CCCCCC	177	217	193	none	collected	rlu-officers	親近武將=曹植；親近武將_2=陳琳	小心	男
10034	34	王修	54,27,76,78,63	CCBCCC	168	218	187	none	collected	rlu-officers	原表空白	冷靜	男
10035	35	王戎	57,36,72,55,49	CCCCBA	234	305	253	none	collected	rlu-officers	原表空白	小心	男
10036	36	王肅	36,22,75,78,71	CCCCCC	195	256	209	none	collected	rlu-officers	父親=王朗	冷靜	男
10037	37	王濬	81,73,77,71,75	ABACSS	206	285	225	skill-083	collected	rlu-officers	原表空白	剛膽	男
10038	38	王祥	23,19,68,78,84	CCCCCC	180	268	203	none	collected	rlu-officers	親近武將=呂虔	冷靜	男
10039	39	區星	55,70,38,29,53	CACCAC	157	187	184	none	collected	rlu-officers	原表空白	豬突	男
10040	40	王雙	64,88,19,22,27	BACACC	195	228	219	skill-051	collected	rlu-officers	原表空白	豬突	男
10041	41	王忠	39,57,21,27,49	CBBCCC	152	214	186	none	collected	rlu-officers	原表空白	小心	男
10042	42	王昶	74,64,79,79,75	ABABBC	188	259	207	skill-096	collected	rlu-officers	親近武將=郭奕；親近武將_2=王淩	冷靜	男
10043	43	王韜	46,59,72,51,49	CBCBBC	210	269	229	none	collected	rlu-officers	原表空白	冷靜	男
10044	44	王惇	60,66,46,61,56	CCCCCC	198	256	217	none	collected	rlu-officers	厭惡武將=孫綝	剛膽	男
10045	45	王平	83,79,76,58,51	AASBCC	192	248	216	skill-073	collected	rlu-officers	厭惡武將=徐晃	冷靜	男
10046	46	王甫	62,41,79,78,73	CCBCAB	171	219	190	skill-016	collected	rlu-officers	親近武將=關羽；親近武將_2=趙累	冷靜	男
10047	47	王門	65,64,31,41,49	CCCACC	162	205	186	none	collected	rlu-officers	原表空白	豬突	男
10048	48	王淩	74,64,70,82,71	ABABCB	172	251	191	none	collected	rlu-officers	父親=20 04；親近武將=王昶；親近武將_2=賈逵；親近武將_3=司馬朗	剛膽	男
10049	49	王累	28,30,78,80,73	CCCCCC	173	211	192	none	collected	rlu-officers	厭惡武將=劉備	剛膽	男
10050	50	王朗	47,35,79,81,51	CBCCCC	162	228	184	none	collected	rlu-officers	原表空白	剛膽	男
10051	51	溫恢	62,36,73,86,76	BABBAB	178	222	197	skill-080	collected	rlu-officers	親近武將=蔣濟	冷靜	男
10052	52	何晏	6,30,71,70,8	CCCCCC	190	249	209	skill-055	collected	rlu-officers	親近武將=曹爽	小心	男
10053	53	蒯越	47,27,82,88,73	BCBCCB	157	214	184	skill-080	collected	rlu-officers	父親=20 05	剛膽	男
10054	54	蒯良	68,33,88,82,71	BCSCBB	155	204	184	skill-016	collected	rlu-officers	父親=20 05	冷靜	男
10055	55	賈華	49,65,41,29,52	BACCCC	176	224	195	none	collected	rlu-officers	原表空白	小心	男
10056	56	華覈	20,24,71,78,68	CCCCBB	217	278	236	none	collected	rlu-officers	親近武將=韋昭	冷靜	男
10057	57	賈逵	78,61,84,85,75	ABABAB	177	231	199	skill-077	collected	rlu-officers	親近武將=王淩；親近武將_2=司馬朗	冷靜	男
10058	58	何儀	56,69,36,10,17	BACCCC	161	195	184	none	collected	rlu-officers	原表空白	豬突	男
10059	59	華歆	18,33,82,83,17	CCCCCC	157	231	184	none	collected	rlu-officers	原表空白	冷靜	男
10060	60	賈詡	86,48,97,85,57	SBABAC	147	223	184	skill-068	collected	rlu-officers	親近武將=張繡	冷靜	男
10061	61	郭奕	21,29,70,76,47	CCBCCC	187	228	201	none	collected	rlu-officers	父親=郭嘉；親近武將=王昶	冷靜	男
10062	62	郭援	66,73,36,33,48	BCCABC	167	202	191	none	collected	rlu-officers	原表空白	豬突	男
10064	64	鄂煥	60,82,42,21,41	CACBCC	196	251	220	skill-035	collected	rlu-officers	原表空白	豬突	男
10065	65	郭汜	64,76,13,14,13	BBCACC	146	197	184	none	collected	rlu-officers	原表空白	豬突	男
10066	66	樂就	53,66,58,42,53	CBBCCC	157	195	184	none	collected	rlu-officers	原表空白	剛膽	男
10067	67	霍峻	80,66,73,62,70	BAACBC	178	217	197	skill-027	collected	rlu-officers	親近武將=孟達	冷靜	男
10068	68	郝昭	89,79,78,62,72	BSBASC	185	229	204	skill-027	collected	rlu-officers	原表空白	冷靜	男
10069	69	樂進	80,84,52,51,65	SBBASC	159	218	188	skill-017	collected	rlu-officers	親近武將=張遼；親近武將_2=李典	剛膽	男
10070	70	樂綝	73,75,43,41,63	ACCABC	196	257	210	none	collected	rlu-officers	父親=樂進；親近武將=張虎	豬突	男
10071	71	郭圖	52,50,82,68,37	CCCBBC	155	205	184	none	collected	rlu-officers	厭惡武將=高覽；厭惡武將_2=審配；厭惡武將_3=張郃	小心	男
10072	72	郭馬	68,71,47,21,54	BACCCC	239	280	253	none	collected	rlu-officers	原表空白	豬突	男
10073	73	郝萌	62,67,42,34,48	CBCACC	156	197	184	none	collected	rlu-officers	原表空白	豬突	男
10074	74	郭攸之	13,9,68,79,60	CCCCCC	190	259	209	none	collected	rlu-officers	原表空白	小心	男
10075	75	霍弋	73,69,69,74,74	CAACAB	207	270	221	skill-073	collected	rlu-officers	父親=霍峻	剛膽	男
10076	76	郭淮	87,78,81,75,77	ASCABC	187	255	206	skill-027	collected	rlu-officers	親近武將=夏侯淵；親近武將_2=曹真	冷靜	男
10077	77	夏侯威	71,73,49,57,67	BCBACC	204	253	218	none	collected	rlu-officers	父親=夏侯淵	剛膽	男
10079	79	夏侯恩	63,72,52,45,71	BCCBCC	180	208	194	none	collected	rlu-officers	原表空白	小心	男
10080	80	夏侯和	48,51,70,76,64	CCCBBC	207	265	221	none	collected	rlu-officers	父親=夏侯淵	冷靜	男
10081	81	夏侯惠	50,44,75,73,66	CCBBCC	206	242	220	none	collected	rlu-officers	父親=夏侯淵	冷靜	男
10082	82	夏侯玄	54,39,75,92,66	CBBCBC	208	254	222	skill-079	collected	rlu-officers	父親=夏侯尚；親近武將=毌丘儉；親近武將_2=諸葛誕；親近武將_3=曹爽；親近武將_4=張緝；親近武將_5=李豐	冷靜	男
10083	83	夏侯尚	79,72,74,65,61	BAABAC	181	225	199	none	collected	rlu-officers	父親=20 07；親近武將=桓階；親近武將_2=曹丕；親近武將_3=孟達	剛膽	男
10084	84	夏侯德	69,73,32,40,52	BCCACC	178	218	197	none	collected	rlu-officers	父親=20 07	豬突	男
10086	86	夏侯霸	79,84,77,55,71	ABBACC	202	262	216	skill-003	collected	rlu-officers	父親=夏侯淵；親近武將=姜維；親近武將_2=曹爽	剛膽	男
10087	87	夏侯楙	20,7,4,21,2	CCCCCC	201	259	215	none	collected	rlu-officers	父親=夏侯惇；親近武將=曹丕	小心	男
10088	88	夏侯令女	19,10,73,71,84	CCBCCC	207	257	221	skill-074	collected	rlu-officers	原表空白	冷靜	女
10089	89	賈充	54,31,89,85,10	CBCCCC	217	282	231	skill-064	collected	rlu-officers	父親=賈逵；親近武將=司馬炎；親近武將_2=司馬昭；親近武將_3=裴秀	冷靜	男
10090	90	何植	15,24,26,27,51	CCCCCC	230	284	245	none	collected	rlu-officers	原表空白	小心	男
10091	91	何進	39,40,6,41,68	CCCCCC	135	189	184	none	collected	rlu-officers	原表空白	小心	男
10092	92	賀齊	83,78,72,64,73	AAACAS	171	227	189	skill-011	collected	rlu-officers	原表空白	剛膽	男
10093	93	賈範	60,62,73,62,62	CCBCBC	202	237	221	none	collected	rlu-officers	原表空白	冷靜	男
10094	94	花鬘	69,82,32,26,70	AACBCC	209	239	223	skill-035	collected	rlu-officers	父親=孟獲；親近武將=關索；親近武將_2=鮑三娘	剛膽	女
10095	95	華雄	81,92,56,40,57	BBCSCC	155	190	184	skill-051	collected	rlu-officers	原表空白	剛膽	男
10096	96	關彝	50,62,44,52,59	CBBCCC	219	263	233	none	collected	rlu-officers	父親=關興；厭惡武將=龐會	小心	男
10097	97	韓胤	26,29,64,54,44	CCCCCC	155	197	184	none	collected	rlu-officers	原表空白	小心	男
10099	99	桓階	10,26,67,78,69	CCCCAC	156	221	184	none	collected	rlu-officers	親近武將=夏侯尚；親近武將_2=孟達	冷靜	男
10100	100	管亥	70,82,10,5,25	BCCABC	160	193	184	none	collected	rlu-officers	原表空白	豬突	男
10101	101	毌丘儉	78,74,52,56,54	ABBAAC	202	255	220	none	collected	rlu-officers	父親=20 09；親近武將=夏侯玄；親近武將_2=諸葛誕；親近武將_3=曹叡；親近武將_4=曹爽	小心	男
10102	102	毌丘秀	58,62,33,38,51	CCBBCC	206	265	225	none	collected	rlu-officers	父親=20 09	小心	男
10103	103	毌丘甸	63,60,69,70,65	CBBBBC	224	255	238	none	collected	rlu-officers	父親=毌丘儉	剛膽	男
10104	104	韓莒子	51,59,51,46,52	CCBBCC	158	200	184	none	collected	rlu-officers	原表空白	豬突	男
10105	105	韓玄	22,33,7,4,1	BCCCCC	163	208	184	none	collected	rlu-officers	父親=20 10	小心	男
10106	106	韓浩	69,72,68,87,62	BCCBCC	164	218	184	skill-078	collected	rlu-officers	父親=20 10；厭惡武將=黃忠	剛膽	男
10107	107	關興	76,86,62,58,75	ASBACB	199	234	213	skill-011	collected	rlu-officers	父親=關羽；親近武將=張苞	剛膽	男
10108	108	關索	74,88,52,47,74	BACSCA	200	239	214	skill-049	collected	rlu-officers	父親=關羽；親近武將=花鬘；親近武將_2=鮑三娘	豬突	男
10109	109	韓遂	89,70,77,61,80	ASCSAC	142	215	184	skill-003	collected	rlu-officers	親近武將=樊稠	冷靜	男
10110	110	韓嵩	25,15,70,77,61	CCCCBC	154	210	184	none	collected	rlu-officers	原表空白	冷靜	男
10111	111	關靖	36,52,72,63,42	CCCBCC	158	199	184	none	collected	rlu-officers	原表空白	小心	男
10112	112	韓暹	69,66,36,18,51	BCBCCC	159	196	184	none	collected	rlu-officers	原表空白	剛膽	男
10113	113	闞澤	43,49,83,86,73	CCBCBB	182	243	201	skill-086	collected	rlu-officers	親近武將=黃蓋；親近武將_2=孫和；親近武將_3=陸遜	剛膽	男
10114	114	韓忠	64,67,18,12,23	BBCCCC	151	184	184	none	collected	rlu-officers	原表空白	剛膽	男
10115	115	關統	63,60,61,63,75	CAACCB	218	259	232	none	collected	rlu-officers	父親=關興	剛膽	男
10116	116	韓當	76,85,56,51,68	ABBACS	156	225	184	skill-038	collected	rlu-officers	親近武將=黃蓋；親近武將_2=孫堅；親近武將_3=程普	豬突	男
10117	117	韓德	63,76,25,16,54	CACACC	171	228	199	skill-092	collected	rlu-officers	原表空白	豬突	男
10119	119	桓範	20,11,78,74,51	CCCCCC	199	249	218	skill-059	collected	rlu-officers	原表空白	剛膽	男
10120	120	韓馥	13,3,27,62,60	CCCCCC	149	191	184	none	collected	rlu-officers	原表空白	小心	男
10121	121	關平	77,82,68,60,76	SABACB	186	219	200	skill-026	collected	rlu-officers	父親=關羽；親近武將=周倉；親近武將_2=趙累；親近武將_3=劉封；親近武將_4=廖化	冷靜	男
10122	122	簡雍	20,32,74,71,74	CCCCBC	164	225	184	skill-086	collected	rlu-officers	親近武將=秦宓；親近武將_2=孫乾；親近武將_3=糜竺	剛膽	男
10123	123	顏良	79,93,42,32,53	AACSCC	160	200	184	skill-010	collected	rlu-officers	親近武將=文醜	豬突	男
10124	124	魏延	81,92,69,49,45	ASBACC	175	234	194	skill-012	collected	rlu-officers	親近武將=陳式；厭惡武將=諸葛亮；厭惡武將_2=楊儀	豬突	男
10125	125	麴義	82,78,51,18,37	ACSACC	146	191	184	skill-036	collected	rlu-officers	原表空白	豬突	男
10126	126	戲志才	23,7,88,73,58	CCCCBC	157	194	184	none	collected	rlu-officers	原表空白	冷靜	男
10127	127	魏續	67,78,31,32,39	BBCACC	156	200	184	none	collected	rlu-officers	親近武將=侯成；親近武將_2=宋憲	剛膽	男
10128	128	魏邈	57,62,59,54,65	BBCCCC	221	268	240	none	collected	rlu-officers	原表空白	冷靜	男
10129	129	魏諷	52,23,72,78,86	BCCCBC	182	219	201	skill-079	collected	rlu-officers	親近武將=鍾繇	冷靜	男
10130	130	魏攸	46,29,73,74,68	CCBCBC	151	193	184	none	collected	rlu-officers	原表空白	冷靜	男
10131	131	牛金	72,79,38,40,45	BACACC	173	226	201	skill-012	collected	rlu-officers	親近武將=曹仁	豬突	男
10132	132	丘建	39,52,65,52,51	BBCCBC	239	272	253	none	collected	rlu-officers	原表空白	冷靜	男
10133	133	牛輔	38,60,21,26,37	CBCBCC	159	192	184	none	collected	rlu-officers	父親=董卓	小心	男
10134	134	丘本	50,41,67,56,55	CCBCBC	232	269	251	none	collected	rlu-officers	原表空白	冷靜	男
10135	135	季雍	63,52,41,40,58	CCCACC	170	192	184	none	collected	rlu-officers	原表空白	小心	男
10136	136	姜維	90,89,90,67,80	SBASCC	202	264	225	skill-068	collected	rlu-officers	親近武將=尹賞；親近武將_2=夏侯霸；親近武將_3=鄧芝；親近武將_4=傅僉；親近武將_5=梁緒；厭惡武將=閻宇；厭惡武將_2=黃皓；厭惡武將_3=譙周	剛膽	男
10137	137	鞏志	43,53,61,65,48	CCBCCC	178	242	197	none	collected	rlu-officers	原表空白	冷靜	男
10138	138	橋蕤	64,69,38,41,58	ACBCCB	143	195	184	none	collected	rlu-officers	原表空白	剛膽	男
10139	139	龔都	59,70,23,22,37	BCBBCC	164	200	184	none	collected	rlu-officers	親近武將=劉辟	豬突	男
10140	140	橋瑁	54,45,69,72,73	BCCBCC	150	190	184	skill-054	collected	rlu-officers	原表空白	剛膽	男
10141	141	許儀	51,74,15,16,49	BCCBCC	213	263	227	none	collected	rlu-officers	父親=許褚	剛膽	男
10142	142	許貢	44,66,64,64,56	CBACCB	155	200	184	none	collected	rlu-officers	原表空白	小心	男
10143	143	許靖	3,5,67,79,68	BCCCCC	152	222	184	none	collected	rlu-officers	原表空白	小心	男
10144	144	許褚	65,96,36,20,59	ABCBCC	169	226	189	skill-028	collected	rlu-officers	親近武將=曹操；親近武將_2=典韋；厭惡武將=許攸	豬突	男
10145	145	許攸	36,21,80,56,23	CCCBCC	155	204	184	none	collected	rlu-officers	厭惡武將=審配	小心	男
10146	146	紀靈	78,83,51,48,55	AACACC	155	199	184	none	collected	rlu-officers	原表空白	剛膽	男
10147	147	金禕	17,38,64,68,60	BCCCCC	177	218	197	none	collected	rlu-officers	父親=金旋	小心	男
10148	148	金環三結	64,76,19,19,42	BACBCC	192	225	217	none	collected	rlu-officers	親近武將=阿會喃；親近武將_2=董荼那	豬突	男
10149	149	金旋	52,68,13,29,47	CBCCCC	155	208	184	none	collected	rlu-officers	原表空白	豬突	男
10150	150	虞汜	61,34,74,71,72	CCBCAA	217	273	231	none	collected	rlu-officers	父親=虞翻	冷靜	男
10151	151	虞翻	43,46,86,81,46	CCBCBB	164	233	184	skill-097	collected	rlu-officers	親近武將=傅士仁；親近武將_2=龐統；親近武將_3=陸績	剛膽	男
10152	152	邢道榮	61,80,41,16,12	CACBCC	174	208	193	none	collected	rlu-officers	原表空白	豬突	男
10153	153	郤正	10,4,63,75,61	CCCCCC	208	278	227	skill-082	collected	rlu-officers	原表空白	冷靜	男
10154	154	嚴顏	79,83,69,67,79	BASCBC	151	222	184	skill-036	collected	rlu-officers	親近武將=黃忠；親近武將_2=張飛	剛膽	男
10155	155	牽弘	70,74,66,65,57	CBCBAC	224	272	243	skill-006	collected	rlu-officers	父親=牽招	冷靜	男
10156	156	嚴綱	68,71,40,51,52	CBCABC	163	192	184	none	collected	rlu-officers	原表空白	豬突	男
10157	157	嚴畯	13,2,70,84,72	CCCCCC	169	246	188	none	collected	rlu-officers	親近武將=諸葛瑾；親近武將_2=張承；親近武將_3=步騭	小心	男
10158	158	牽招	72,69,73,75,73	CBBAAC	168	244	190	skill-091	collected	rlu-officers	原表空白	剛膽	男
10159	159	嚴政	50,55,39,36,12	BBCCCC	151	189	184	none	collected	rlu-officers	原表空白	小心	男
10160	160	嚴白虎	67,70,23,21,41	BACCCB	142	196	184	skill-093	collected	rlu-officers	父親=20 11	豬突	男
10161	161	嚴輿	61,78,44,20,29	AABCCB	145	196	184	skill-093	collected	rlu-officers	父親=20 11	豬突	男
10162	162	吳懿	83,73,68,70,77	ABSBBC	165	237	185	skill-026	collected	rlu-officers	原表空白	冷靜	男
10163	163	黃蓋	79,83,65,65,81	BASCBS	154	218	184	skill-053	collected	rlu-officers	親近武將=韓當；親近武將_2=孫堅；親近武將_3=程普	剛膽	男
10164	164	高幹	74,56,48,59,66	CAACBC	168	206	187	none	collected	rlu-officers	父親=20 12	小心	男
10165	165	黃月英	51,31,88,87,79	CCSCSA	186	235	208	skill-046	collected	rlu-officers	父親=黃承彥；親近武將=諸葛亮	冷靜	女
10166	166	黃權	75,59,82,79,78	BBACCA	167	240	186	skill-072	collected	rlu-officers	原表空白	冷靜	男
10167	167	黃皓	1,1,30,10,1	CCCCCC	226	263	245	none	collected	rlu-officers	親近武將=閻宇；親近武將_2=劉禪；厭惡武將=姜維	小心	男
10168	168	高柔	57,43,71,79,74	CBBCBC	174	263	193	none	collected	rlu-officers	父親=20 12	冷靜	男
10169	169	高順	85,86,55,46,69	ABCSSC	162	198	186	skill-017	collected	rlu-officers	親近武將=張遼；親近武將_2=呂布；厭惡武將=陳宮	剛膽	男
10170	170	高翔	68,68,52,44,55	CCBBCC	194	252	213	skill-007	collected	rlu-officers	原表空白	剛膽	男
10171	171	高昇	67,73,41,21,27	ACCBCC	145	184	184	none	collected	rlu-officers	原表空白	豬突	男
10172	172	黃崇	67,63,72,69,62	CBACBB	208	263	222	none	collected	rlu-officers	父親=黃權	剛膽	男
10173	173	侯成	74,75,63,56,60	BBBACC	158	199	184	none	collected	rlu-officers	親近武將=魏續；親近武將_2=宋憲	冷靜	男
10174	174	侯選	63,66,34,55,52	CCCABC	175	228	194	none	collected	rlu-officers	原表空白	小心	男
10175	175	黃祖	74,66,53,38,32	BBACBA	148	208	184	none	collected	rlu-officers	親近武將=劉表；厭惡武將=甘寧	剛膽	男
10176	176	公孫越	74,72,47,54,67	BCCSBC	160	192	184	skill-025	collected	rlu-officers	父親=20 13	剛膽	男
10177	177	公孫淵	65,70,56,35,55	BCCBCC	205	238	219	none	collected	rlu-officers	父親=公孫康	豬突	男
10178	178	公孫恭	39,17,68,61,42	CCCBCC	174	238	188	none	collected	rlu-officers	父親=公孫度	小心	男
10179	179	公孫康	72,66,61,58,56	CCCACB	172	210	186	skill-016	collected	rlu-officers	父親=公孫度	冷靜	男
10180	180	公孫瓚	84,83,70,46,77	BCASBC	152	199	184	skill-025	collected	rlu-officers	父親=20 13；親近武將=劉備；親近武將_2=盧植；厭惡武將=劉虞	剛膽	男
10181	181	公孫續	63,68,54,63,66	CCBSBC	176	199	190	skill-025	collected	rlu-officers	父親=公孫瓚	冷靜	男
10182	182	公孫度	67,71,63,51,35	BCCAAB	154	204	184	none	collected	rlu-officers	原表空白	剛膽	男
10183	183	公孫範	73,69,64,62,61	CCBSBC	158	199	184	skill-025	collected	rlu-officers	父親=20 14	冷靜	男
10184	184	孔伷	26,16,68,78,64	CCBCCC	151	194	184	none	collected	rlu-officers	原表空白	冷靜	男
