officerId	targetId	kind	field	raw	source
1005	10556	LIKE	親近武將_2	法正	rlu-officers
1005	10634	LIKE	親近武將_3	劉磐	rlu-officers
2000	2001	LIKE	親近武將_3	夏侯惇	rlu-officers
2000	2002	LIKE	親近武將_4	荀彧	rlu-officers
2000	2003	LIKE	親近武將_2	夏侯淵	rlu-officers
2000	2005	LIKE	親近武將	郭嘉	rlu-officers
2000	10190	DISLIKE	厭惡武將	孔融	rlu-officers
2000	10253	DISLIKE	厭惡武將_2	朱靈	rlu-officers
2000	10471	LIKE	親近武將_5	典韋	rlu-officers
2000	10493	DISLIKE	厭惡武將_3	董卓	rlu-officers
2000	10548	SPOUSE	配偶	卞氏	rlu-officers
2000	10582	DISLIKE	厭惡武將_4	楊修	rlu-officers
2001	2000	LIKE	親近武將_4	曹操	rlu-officers
2001	2003	LIKE	親近武將	夏侯淵	rlu-officers
2001	10336	LIKE	親近武將_2	曹洪	rlu-officers
2001	10341	LIKE	親近武將_3	曹仁	rlu-officers
2001	10474	LIKE	親近武將_5	田疇	rlu-officers
2002	2000	LIKE	親近武將_3	曹操	rlu-officers
2002	2005	LIKE	親近武將	郭嘉	rlu-officers
2002	10276	LIKE	親近武將_2	鍾繇	rlu-officers
2002	10461	LIKE	親近武將_4	程昱	rlu-officers
2003	2000	LIKE	親近武將_5	曹操	rlu-officers
2003	2001	LIKE	親近武將_2	夏侯惇	rlu-officers
2003	10076	LIKE	親近武將	郭淮	rlu-officers
2003	10336	LIKE	親近武將_3	曹洪	rlu-officers
2003	10341	LIKE	親近武將_4	曹仁	rlu-officers
2004	1001	LIKE	親近武將_2	關羽	rlu-officers
2004	10069	LIKE	親近武將	樂進	rlu-officers
2004	10169	LIKE	親近武將_3	高順	rlu-officers
2004	10609	LIKE	親近武將_4	李典	rlu-officers
2004	10660	LIKE	親近武將_5	呂布	rlu-officers
2005	2000	LIKE	親近武將_2	曹操	rlu-officers
2005	2002	LIKE	親近武將	荀彧	rlu-officers
2005	10461	LIKE	親近武將_3	程昱	rlu-officers
2005	10641	LIKE	親近武將_4	劉曄	rlu-officers
3000	10242	LIKE	親近武將	周泰	rlu-officers
3000	10250	LIKE	親近武將_2	朱然	rlu-officers
3000	10365	FATHER	父親	孫堅	rlu-officers
3000	10419	DISLIKE	厭惡武將	張昭	rlu-officers
3001	1004	DISLIKE	厭惡武將	諸葛亮	rlu-officers
3001	3002	LIKE	親近武將_5	魯肅	rlu-officers
3001	3005	LIKE	親近武將_4	呂蒙	rlu-officers
3001	10266	LIKE	親近武將	小喬	rlu-officers
3001	10370	LIKE	親近武將_2	孫策	rlu-officers
3001	10466	LIKE	親近武將_3	程普	rlu-officers
3002	3001	LIKE	親近武將	周瑜	rlu-officers
3002	3005	LIKE	親近武將_3	呂蒙	rlu-officers
3002	10282	LIKE	親近武將_2	諸葛瑾	rlu-officers
3003	10175	DISLIKE	厭惡武將	黃祖	rlu-officers
3003	10354	LIKE	親近武將	蘇飛	rlu-officers
3003	10651	LIKE	親近武將_2	凌統	rlu-officers
3004	10370	LIKE	親近武將	孫策	rlu-officers
3005	3001	LIKE	親近武將	周瑜	rlu-officers
3005	3002	LIKE	親近武將_3	魯肅	rlu-officers
3005	10602	LIKE	親近武將_2	陸遜	rlu-officers
10000	10148	LIKE	親近武將	金環三結	rlu-officers
10000	10496	LIKE	親近武將_2	董荼那	rlu-officers
10001	10056	LIKE	親近武將	華覈	rlu-officers
10002	1000	LIKE	親近武將	劉備	rlu-officers
10002	10511	LIKE	親近武將_2	馬謖	rlu-officers
10002	10519	LIKE	親近武將_3	馬良	rlu-officers
10003	10136	LIKE	親近武將	姜維	rlu-officers
10003	10649	LIKE	親近武將_2	梁緒	rlu-officers
10004	10543	LIKE	親近武將	文欽	rlu-officers
10006	10558	DISLIKE	厭惡武將	龐德	rlu-officers
10008	10481	DISLIKE	厭惡武將	鄧艾	rlu-officers
10011	10136	DISLIKE	厭惡武將	姜維	rlu-officers
10011	10167	LIKE	親近武將	黃皓	rlu-officers
10013	10018	FATHER	父親	袁紹	rlu-officers
10016	2000	DISLIKE	厭惡武將_2	曹操	rlu-officers
10016	10018	DISLIKE	厭惡武將	袁紹	rlu-officers
10017	2000	DISLIKE	厭惡武將_2	曹操	rlu-officers
10017	10018	FATHER	父親	袁紹	rlu-officers
10017	10018	LIKE	親近武將	袁紹	rlu-officers
10017	10020	DISLIKE	厭惡武將	袁譚	rlu-officers
10017	10622	LIKE	親近武將_2	劉氏	rlu-officers
10017	10622	MOTHER	母親	劉氏	rlu-officers
10018	10016	DISLIKE	厭惡武將	袁術	rlu-officers
10018	10017	LIKE	親近武將	袁尚	rlu-officers
10018	10493	DISLIKE	厭惡武將_2	董卓	rlu-officers
10018	10622	SPOUSE	配偶	劉氏	rlu-officers
10020	10017	DISLIKE	厭惡武將	袁尚	rlu-officers
10020	10018	FATHER	父親	袁紹	rlu-officers
10022	10016	FATHER	父親	袁術	rlu-officers
10024	10515	DISLIKE	厭惡武將	馬超	rlu-officers
10030	10220	LIKE	親近武將	崔林	rlu-officers
10031	10653	LIKE	親近武將	呂凱	rlu-officers
10032	10042	FATHER	父親	王昶	rlu-officers
10033	10339	LIKE	親近武將	曹植	rlu-officers
10033	10460	LIKE	親近武將_2	陳琳	rlu-officers
10036	10050	FATHER	父親	王朗	rlu-officers
10038	10655	LIKE	親近武將	呂虔	rlu-officers
10042	10048	LIKE	親近武將_2	王淩	rlu-officers
10042	10061	LIKE	親近武將	郭奕	rlu-officers
10044	10379	DISLIKE	厭惡武將	孫綝	rlu-officers
10045	10290	DISLIKE	厭惡武將	徐晃	rlu-officers
10046	1001	LIKE	親近武將	關羽	rlu-officers
10046	10441	LIKE	親近武將_2	趙累	rlu-officers
10048	10042	LIKE	親近武將	王昶	rlu-officers
10048	10057	LIKE	親近武將_2	賈逵	rlu-officers
10048	10233	LIKE	親近武將_3	司馬朗	rlu-officers
10049	1000	DISLIKE	厭惡武將	劉備	rlu-officers
10051	10268	LIKE	親近武將	蔣濟	rlu-officers
10052	10344	LIKE	親近武將	曹爽	rlu-officers
10056	10001	LIKE	親近武將	韋昭	rlu-officers
10057	10048	LIKE	親近武將	王淩	rlu-officers
10057	10233	LIKE	親近武將_2	司馬朗	rlu-officers
10060	10415	LIKE	親近武將	張繡	rlu-officers
10061	2005	FATHER	父親	郭嘉	rlu-officers
10061	10042	LIKE	親近武將	王昶	rlu-officers
10067	10570	LIKE	親近武將	孟達	rlu-officers
10069	2004	LIKE	親近武將	張遼	rlu-officers
10069	10609	LIKE	親近武將_2	李典	rlu-officers
10070	10069	FATHER	父親	樂進	rlu-officers
10070	10409	LIKE	親近武將	張虎	rlu-officers
10071	10191	DISLIKE	厭惡武將	高覽	rlu-officers
10071	10303	DISLIKE	厭惡武將_2	審配	rlu-officers
10071	10411	DISLIKE	厭惡武將_3	張郃	rlu-officers
10075	10067	FATHER	父親	霍峻	rlu-officers
10076	2003	LIKE	親近武將	夏侯淵	rlu-officers
10076	10340	LIKE	親近武將_2	曹真	rlu-officers
10077	2003	FATHER	父親	夏侯淵	rlu-officers
10080	2003	FATHER	父親	夏侯淵	rlu-officers
10081	2003	FATHER	父親	夏侯淵	rlu-officers
10082	10083	FATHER	父親	夏侯尚	rlu-officers
10082	10101	LIKE	親近武將	毌丘儉	rlu-officers
10082	10288	LIKE	親近武將_2	諸葛誕	rlu-officers
10082	10344	LIKE	親近武將_3	曹爽	rlu-officers
10082	10416	LIKE	親近武將_4	張緝	rlu-officers
10083	10099	LIKE	親近武將	桓階	rlu-officers
10083	10347	LIKE	親近武將_2	曹丕	rlu-officers
10083	10570	LIKE	親近武將_3	孟達	rlu-officers
10086	2003	FATHER	父親	夏侯淵	rlu-officers
10086	10136	LIKE	親近武將	姜維	rlu-officers
10086	10344	LIKE	親近武將_2	曹爽	rlu-officers
10087	2001	FATHER	父親	夏侯惇	rlu-officers
10087	10347	LIKE	親近武將	曹丕	rlu-officers
10089	10057	FATHER	父親	賈逵	rlu-officers
10089	10226	LIKE	親近武將	司馬炎	rlu-officers
10089	10228	LIKE	親近武將_2	司馬昭	rlu-officers
10089	10504	LIKE	親近武將_3	裴秀	rlu-officers
10094	10108	LIKE	親近武將	關索	rlu-officers
10094	10554	LIKE	親近武將_2	鮑三娘	rlu-officers
10094	10568	FATHER	父親	孟獲	rlu-officers
10096	10107	FATHER	父親	關興	rlu-officers
10096	10550	DISLIKE	厭惡武將	龐會	rlu-officers
10099	10083	LIKE	親近武將	夏侯尚	rlu-officers
10099	10570	LIKE	親近武將_2	孟達	rlu-officers
10101	10082	LIKE	親近武將	夏侯玄	rlu-officers
10101	10288	LIKE	親近武將_2	諸葛誕	rlu-officers
10101	10328	LIKE	親近武將_3	曹叡	rlu-officers
10101	10344	LIKE	親近武將_4	曹爽	rlu-officers
10103	10101	FATHER	父親	毌丘儉	rlu-officers
10106	1005	DISLIKE	厭惡武將	黃忠	rlu-officers
10107	1001	FATHER	父親	關羽	rlu-officers
10107	10434	LIKE	親近武將	張苞	rlu-officers
10108	1001	FATHER	父親	關羽	rlu-officers
10108	10094	LIKE	親近武將	花鬘	rlu-officers
10108	10554	LIKE	親近武將_2	鮑三娘	rlu-officers
10109	10525	LIKE	親近武將	樊稠	rlu-officers
10113	10163	LIKE	親近武將	黃蓋	rlu-officers
10113	10358	LIKE	親近武將_2	孫和	rlu-officers
10113	10602	LIKE	親近武將_3	陸遜	rlu-officers
10115	10107	FATHER	父親	關興	rlu-officers
10116	10163	LIKE	親近武將	黃蓋	rlu-officers
10116	10365	LIKE	親近武將_2	孫堅	rlu-officers
10116	10466	LIKE	親近武將_3	程普	rlu-officers
10121	1001	FATHER	父親	關羽	rlu-officers
10121	10241	LIKE	親近武將	周倉	rlu-officers
10121	10441	LIKE	親近武將_2	趙累	rlu-officers
10121	10640	LIKE	親近武將_3	劉封	rlu-officers
10121	10645	LIKE	親近武將_4	廖化	rlu-officers
10122	10306	LIKE	親近武將	秦宓	rlu-officers
10122	10366	LIKE	親近武將_2	孫乾	rlu-officers
10122	10532	LIKE	親近武將_3	糜竺	rlu-officers
10123	10545	LIKE	親近武將	文醜	rlu-officers
10124	1004	DISLIKE	厭惡武將	諸葛亮	rlu-officers
10124	10452	LIKE	親近武將	陳式	rlu-officers
10124	10575	DISLIKE	厭惡武將_2	楊儀	rlu-officers
10127	10173	LIKE	親近武將	侯成	rlu-officers
10127	10333	LIKE	親近武將_2	宋憲	rlu-officers
10129	10276	LIKE	親近武將	鍾繇	rlu-officers
10131	10341	LIKE	親近武將	曹仁	rlu-officers
10133	10493	FATHER	父親	董卓	rlu-officers
10136	10003	LIKE	親近武將	尹賞	rlu-officers
10136	10011	DISLIKE	厭惡武將	閻宇	rlu-officers
10136	10086	LIKE	親近武將_2	夏侯霸	rlu-officers
10136	10167	DISLIKE	厭惡武將_2	黃皓	rlu-officers
10136	10269	DISLIKE	厭惡武將_3	譙周	rlu-officers
10136	10486	LIKE	親近武將_3	鄧芝	rlu-officers
10136	10539	LIKE	親近武將_4	傅僉	rlu-officers
10136	10649	LIKE	親近武將_5	梁緒	rlu-officers
10139	10639	LIKE	親近武將	劉辟	rlu-officers
10141	10144	FATHER	父親	許褚	rlu-officers
10144	2000	LIKE	親近武將	曹操	rlu-officers
10144	10145	DISLIKE	厭惡武將	許攸	rlu-officers
10144	10471	LIKE	親近武將_2	典韋	rlu-officers
10145	10303	DISLIKE	厭惡武將	審配	rlu-officers
10147	10149	FATHER	父親	金旋	rlu-officers
10148	10000	LIKE	親近武將	阿會喃	rlu-officers
10148	10496	LIKE	親近武將_2	董荼那	rlu-officers
10150	10151	FATHER	父親	虞翻	rlu-officers
10151	10538	LIKE	親近武將	傅士仁	rlu-officers
10151	10557	LIKE	親近武將_2	龐統	rlu-officers
10151	10601	LIKE	親近武將_3	陸績	rlu-officers
10154	1002	LIKE	親近武將_2	張飛	rlu-officers
10154	1005	LIKE	親近武將	黃忠	rlu-officers
10155	10158	FATHER	父親	牽招	rlu-officers
10157	10282	LIKE	親近武將	諸葛瑾	rlu-officers
10157	10422	LIKE	親近武將_2	張承	rlu-officers
10157	10564	LIKE	親近武將_3	步騭	rlu-officers
10163	10116	LIKE	親近武將	韓當	rlu-officers
10163	10365	LIKE	親近武將_2	孫堅	rlu-officers
10163	10466	LIKE	親近武將_3	程普	rlu-officers
10165	1004	LIKE	親近武將	諸葛亮	rlu-officers
10167	10011	LIKE	親近武將	閻宇	rlu-officers
10167	10136	DISLIKE	厭惡武將	姜維	rlu-officers
10167	10629	LIKE	親近武將_2	劉禪	rlu-officers
10169	2004	LIKE	親近武將	張遼	rlu-officers
10169	10446	DISLIKE	厭惡武將	陳宮	rlu-officers
10169	10660	LIKE	親近武將_2	呂布	rlu-officers
10172	10166	FATHER	父親	黃權	rlu-officers
10173	10127	LIKE	親近武將	魏續	rlu-officers
10173	10333	LIKE	親近武將_2	宋憲	rlu-officers
10175	3003	DISLIKE	厭惡武將	甘寧	rlu-officers
10175	10636	LIKE	親近武將	劉表	rlu-officers
10177	10179	FATHER	父親	公孫康	rlu-officers
10178	10182	FATHER	父親	公孫度	rlu-officers
10179	10182	FATHER	父親	公孫度	rlu-officers
10180	1000	LIKE	親近武將	劉備	rlu-officers
10180	10618	DISLIKE	厭惡武將	劉虞	rlu-officers
10180	10669	LIKE	親近武將_2	盧植	rlu-officers
10181	10180	FATHER	父親	公孫瓚	rlu-officers
10188	10573	LIKE	親近武將	楊懷	rlu-officers
10190	10582	LIKE	親近武將	楊修	rlu-officers
10191	10071	DISLIKE	厭惡武將	郭圖	rlu-officers
10191	10411	LIKE	親近武將	張郃	rlu-officers
10198	1000	LIKE	親近武將_2	劉備	rlu-officers
10198	10375	LIKE	親近武將	孫尚香	rlu-officers
10202	10225	LIKE	親近武將	司馬懿	rlu-officers
10202	10347	LIKE	親近武將_2	曹丕	rlu-officers
10202	10448	LIKE	親近武將_3	陳群	rlu-officers
10206	10211	FATHER	父親	顧雍	rlu-officers
10206	10280	LIKE	親近武將	諸葛恪	rlu-officers
10206	10380	LIKE	親近武將_2	孫登	rlu-officers
10206	10405	LIKE	親近武將_3	張休	rlu-officers
10206	10457	LIKE	親近武將_4	陳表	rlu-officers
10210	10204	FATHER	父親	胡遵	rlu-officers
10211	10410	LIKE	親近武將	張紘	rlu-officers
10212	10592	LIKE	親近武將	雷銅	rlu-officers
10213	10204	FATHER	父親	胡遵	rlu-officers
10214	10233	LIKE	親近武將	司馬朗	rlu-officers
10217	1000	DISLIKE	厭惡武將_2	劉備	rlu-officers
10217	10617	DISLIKE	厭惡武將	劉琦	rlu-officers
10217	10630	LIKE	親近武將	劉琮	rlu-officers
10219	1000	DISLIKE	厭惡武將_2	劉備	rlu-officers
10219	10394	LIKE	親近武將	張允	rlu-officers
10219	10617	DISLIKE	厭惡武將	劉琦	rlu-officers
10219	10630	LIKE	親近武將_2	劉琮	rlu-officers
10220	10030	LIKE	親近武將	王經	rlu-officers
10225	10202	LIKE	親近武將	吳質	rlu-officers
10225	10328	LIKE	親近武將_2	曹叡	rlu-officers
10225	10347	LIKE	親近武將_3	曹丕	rlu-officers
10225	10411	LIKE	親近武將_4	張郃	rlu-officers
10225	10448	LIKE	親近武將_5	陳群	rlu-officers
10226	10089	LIKE	親近武將	賈充	rlu-officers
10226	10228	FATHER	父親	司馬昭	rlu-officers
10226	10286	LIKE	親近武將_2	諸葛靚	rlu-officers
10226	10542	DISLIKE	厭惡武將	文鴦	rlu-officers
10227	10225	FATHER	父親	司馬懿	rlu-officers
10227	10228	LIKE	親近武將	司馬昭	rlu-officers
10227	10292	LIKE	親近武將_2	徐質	rlu-officers
10227	10454	LIKE	親近武將_3	陳泰	rlu-officers
10228	10225	FATHER	父親	司馬懿	rlu-officers
10228	10227	LIKE	親近武將	司馬師	rlu-officers
10228	10454	LIKE	親近武將_2	陳泰	rlu-officers
10229	10225	FATHER	父親	司馬懿	rlu-officers
10230	10350	LIKE	親近武將	曹髦	rlu-officers
10231	10230	FATHER	父親	司馬孚	rlu-officers
10232	10228	FATHER	父親	司馬昭	rlu-officers
10233	10048	LIKE	親近武將	王淩	rlu-officers
10233	10057	LIKE	親近武將_2	賈逵	rlu-officers
10233	10214	LIKE	親近武將_3	崔琰	rlu-officers
10237	10246	FATHER	父親	朱桓	rlu-officers
10237	10543	DISLIKE	厭惡武將	文欽	rlu-officers
10241	1001	LIKE	親近武將	關羽	rlu-officers
10241	10121	LIKE	親近武將_2	關平	rlu-officers
10241	10503	LIKE	親近武將_3	裴元紹	rlu-officers
10242	3000	LIKE	親近武將_2	孫權	rlu-officers
10242	10267	LIKE	親近武將	蔣欽	rlu-officers
10248	10568	LIKE	親近武將	孟獲	rlu-officers
10250	3000	LIKE	親近武將	孫權	rlu-officers
10250	10251	FATHER	父親	朱治	rlu-officers
10256	2002	FATHER	父親	荀彧	rlu-officers
10256	10261	LIKE	親近武將	鍾毓	rlu-officers
10256	10454	LIKE	親近武將_2	陳泰	rlu-officers
10256	10537	LIKE	親近武將_3	傅嘏	rlu-officers
10259	10276	LIKE	親近武將	鍾繇	rlu-officers
10261	10256	LIKE	親近武將	荀顗	rlu-officers
10261	10276	FATHER	父親	鍾繇	rlu-officers
10261	10454	LIKE	親近武將_2	陳泰	rlu-officers
10261	10537	LIKE	親近武將_3	傅嘏	rlu-officers
10263	10275	LIKE	親近武將	蔣斌	rlu-officers
10263	10276	FATHER	父親	鍾繇	rlu-officers
10263	10481	DISLIKE	厭惡武將	鄧艾	rlu-officers
10266	3001	LIKE	親近武將	周瑜	rlu-officers
10266	10375	LIKE	親近武將_2	孫尚香	rlu-officers
10266	10387	LIKE	親近武將_3	大喬	rlu-officers
10267	10242	LIKE	親近武將	周泰	rlu-officers
10268	10051	LIKE	親近武將	溫恢	rlu-officers
10269	1004	DISLIKE	厭惡武將_2	諸葛亮	rlu-officers
10269	10136	DISLIKE	厭惡武將	姜維	rlu-officers
10275	10262	FATHER	父親	蔣琬	rlu-officers
10275	10263	LIKE	親近武將	鍾會	rlu-officers
10276	2002	LIKE	親近武將_2	荀彧	rlu-officers
10276	10129	LIKE	親近武將	魏諷	rlu-officers
10276	10259	LIKE	親近武將_3	荀攸	rlu-officers
10276	10404	LIKE	親近武將_4	張既	rlu-officers
10278	10511	LIKE	親近武將	馬謖	rlu-officers
10280	10206	LIKE	親近武將	顧譚	rlu-officers
10280	10282	FATHER	父親	諸葛瑾	rlu-officers
10280	10373	DISLIKE	厭惡武將	孫峻	rlu-officers
10280	10380	LIKE	親近武將_2	孫登	rlu-officers
10280	10405	LIKE	親近武將_3	張休	rlu-officers
10280	10457	LIKE	親近武將_4	陳表	rlu-officers
10280	10478	DISLIKE	厭惡武將_2	滕胤	rlu-officers
10281	10282	FATHER	父親	諸葛瑾	rlu-officers
10282	3002	LIKE	親近武將_4	魯肅	rlu-officers
10282	10157	LIKE	親近武將	嚴畯	rlu-officers
10282	10422	LIKE	親近武將_2	張承	rlu-officers
10282	10564	LIKE	親近武將_3	步騭	rlu-officers
10285	1004	LIKE	親近武將	諸葛亮	rlu-officers
10285	10287	FATHER	父親	諸葛瞻	rlu-officers
10286	10288	FATHER	父親	諸葛誕	rlu-officers
10287	1004	FATHER	父親	諸葛亮	rlu-officers
10288	10082	LIKE	親近武將	夏侯玄	rlu-officers
10288	10101	LIKE	親近武將_2	毌丘儉	rlu-officers
10288	10344	LIKE	親近武將_3	曹爽	rlu-officers
10288	10416	LIKE	親近武將_4	張緝	rlu-officers
10288	10543	DISLIKE	厭惡武將	文欽	rlu-officers
10290	1001	LIKE	親近武將	關羽	rlu-officers
10290	10045	DISLIKE	厭惡武將	王平	rlu-officers
10291	10382	LIKE	親近武將	孫翊	rlu-officers
10292	10227	LIKE	親近武將	司馬師	rlu-officers
10293	1000	LIKE	親近武將	劉備	rlu-officers
10294	10469	LIKE	親近武將	丁奉	rlu-officers
10297	10570	DISLIKE	厭惡武將	孟達	rlu-officers
10298	10304	FATHER	父親	辛毘	rlu-officers
10299	10368	LIKE	親近武將	孫皓	rlu-officers
10300	10339	LIKE	親近武將	曹植	rlu-officers
10301	10304	FATHER	父親	辛毘	rlu-officers
10302	10570	DISLIKE	厭惡武將	孟達	rlu-officers
10303	10018	LIKE	親近武將	袁紹	rlu-officers
10303	10071	DISLIKE	厭惡武將	郭圖	rlu-officers
10303	10145	DISLIKE	厭惡武將_2	許攸	rlu-officers
10303	10305	DISLIKE	厭惡武將_3	辛評	rlu-officers
10303	10475	DISLIKE	厭惡武將_4	田豐	rlu-officers
10303	10552	LIKE	親近武將_2	逢紀	rlu-officers
10305	10303	DISLIKE	厭惡武將	審配	rlu-officers
10306	10122	LIKE	親近武將	簡雍	rlu-officers
10310	10414	SPOUSE	配偶	張濟	rlu-officers
10316	10481	LIKE	親近武將	鄧艾	rlu-officers
10317	10319	FATHER	父親	薛綜	rlu-officers
10318	10319	FATHER	父親	薛綜	rlu-officers
10320	10326	FATHER	父親	全端	rlu-officers
10321	10325	FATHER	父親	全琮	rlu-officers
10322	10324	FATHER	父親	全尚	rlu-officers
10325	10358	DISLIKE	厭惡武將	孫和	rlu-officers
10325	10386	LIKE	親近武將	孫魯班	rlu-officers
10326	10325	FATHER	父親	全琮	rlu-officers
10327	2000	FATHER	父親	曹操	rlu-officers
10327	10328	LIKE	親近武將	曹叡	rlu-officers
10328	10052	DISLIKE	厭惡武將	何晏	rlu-officers
10328	10225	LIKE	親近武將	司馬懿	rlu-officers
10328	10288	DISLIKE	厭惡武將_2	諸葛誕	rlu-officers
10328	10300	LIKE	親近武將_2	甄氏	rlu-officers
10328	10327	LIKE	親近武將_3	曹宇	rlu-officers
10328	10339	LIKE	親近武將_4	曹植	rlu-officers
10328	10347	FATHER	父親	曹丕	rlu-officers
10329	10327	FATHER	父親	曹宇	rlu-officers
10330	10340	FATHER	父親	曹真	rlu-officers
10332	10340	FATHER	父親	曹真	rlu-officers
10333	10127	LIKE	親近武將	魏續	rlu-officers
10333	10173	LIKE	親近武將_2	侯成	rlu-officers
10335	2000	FATHER	父親	曹操	rlu-officers
10335	10471	LIKE	親近武將	典韋	rlu-officers
10336	2001	LIKE	親近武將_2	夏侯惇	rlu-officers
10336	2003	LIKE	親近武將	夏侯淵	rlu-officers
10336	10341	LIKE	親近武將_3	曹仁	rlu-officers
10338	2000	FATHER	父親	曹操	rlu-officers
10338	10339	LIKE	親近武將	曹植	rlu-officers
10338	10548	MOTHER	母親	卞氏	rlu-officers
10339	2000	FATHER	父親	曹操	rlu-officers
10339	10033	LIKE	親近武將	王粲	rlu-officers
10339	10300	LIKE	親近武將_2	甄氏	rlu-officers
10339	10328	LIKE	親近武將_3	曹叡	rlu-officers
10339	10338	LIKE	親近武將_4	曹彰	rlu-officers
10339	10347	DISLIKE	厭惡武將	曹丕	rlu-officers
10339	10460	LIKE	親近武將_5	陳琳	rlu-officers
10339	10548	MOTHER	母親	卞氏	rlu-officers
10340	10076	LIKE	親近武將	郭淮	rlu-officers
10341	2001	LIKE	親近武將_2	夏侯惇	rlu-officers
10341	2003	LIKE	親近武將	夏侯淵	rlu-officers
10341	10131	LIKE	親近武將_3	牛金	rlu-officers
10341	10336	LIKE	親近武將_4	曹洪	rlu-officers
10344	10082	LIKE	親近武將	夏侯玄	rlu-officers
10344	10086	LIKE	親近武將_2	夏侯霸	rlu-officers
10344	10101	LIKE	親近武將_3	毌丘儉	rlu-officers
10344	10225	DISLIKE	厭惡武將	司馬懿	rlu-officers
10344	10288	LIKE	親近武將_4	諸葛誕	rlu-officers
10344	10340	FATHER	父親	曹真	rlu-officers
10345	2000	FATHER	父親	曹操	rlu-officers
10346	10360	LIKE	親近武將	孫觀	rlu-officers
10347	2000	FATHER	父親	曹操	rlu-officers
10347	10041	DISLIKE	厭惡武將	王忠	rlu-officers
10347	10052	DISLIKE	厭惡武將_2	何晏	rlu-officers
10347	10083	LIKE	親近武將	夏侯尚	rlu-officers
10347	10202	LIKE	親近武將_2	吳質	rlu-officers
10347	10225	LIKE	親近武將_3	司馬懿	rlu-officers
10347	10336	DISLIKE	厭惡武將_3	曹洪	rlu-officers
10347	10339	DISLIKE	厭惡武將_4	曹植	rlu-officers
10347	10448	LIKE	親近武將_4	陳群	rlu-officers
10347	10548	MOTHER	母親	卞氏	rlu-officers
10347	10570	LIKE	親近武將_5	孟達	rlu-officers
10349	10328	FATHER	父親	曹叡	rlu-officers
10350	2000	LIKE	親近武將	曹操	rlu-officers
10351	2000	FATHER	父親	曹操	rlu-officers
10351	10548	MOTHER	母親	卞氏	rlu-officers
10352	10353	FATHER	父親	沮授	rlu-officers
10354	3003	LIKE	親近武將	甘寧	rlu-officers
10355	10365	LIKE	親近武將	孫堅	rlu-officers
10357	10374	FATHER	父親	孫韶	rlu-officers
10358	3000	FATHER	父親	孫權	rlu-officers
10358	10113	LIKE	親近武將	闞澤	rlu-officers
10358	10380	LIKE	親近武將_2	孫登	rlu-officers
10358	10386	DISLIKE	厭惡武將	孫魯班	rlu-officers
10360	10346	LIKE	親近武將	臧霸	rlu-officers
10362	3000	FATHER	父親	孫權	rlu-officers
10362	10379	DISLIKE	厭惡武將	孫綝	rlu-officers
10362	10433	LIKE	親近武將	張布	rlu-officers
