type	level	lod	asset	states	status
domestic/BARRACKS	3	2	domestic-BARRACKS-3-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	1	0	domestic-SMITH-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	1	1	domestic-SMITH-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	1	2	domestic-SMITH-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	2	0	domestic-SMITH-2-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	2	1	domestic-SMITH-2-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	2	2	domestic-SMITH-2-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	3	0	domestic-SMITH-3-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	3	1	domestic-SMITH-3-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SMITH	3	2	domestic-SMITH-3-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MINT	1	0	domestic-MINT-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MINT	1	1	domestic-MINT-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/MINT	1	2	domestic-MINT-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/GRANARY	1	0	domestic-GRANARY-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/GRANARY	1	1	domestic-GRANARY-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/GRANARY	1	2	domestic-GRANARY-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	1	0	domestic-STABLE-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	1	1	domestic-STABLE-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	1	2	domestic-STABLE-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	2	0	domestic-STABLE-2-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	2	1	domestic-STABLE-2-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	2	2	domestic-STABLE-2-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	3	0	domestic-STABLE-3-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	3	1	domestic-STABLE-3-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/STABLE	3	2	domestic-STABLE-3-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BLACK_MARKET	1	0	domestic-BLACK_MARKET-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BLACK_MARKET	1	1	domestic-BLACK_MARKET-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BLACK_MARKET	1	2	domestic-BLACK_MARKET-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/WORKSHOP	1	0	domestic-WORKSHOP-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/WORKSHOP	1	1	domestic-WORKSHOP-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/WORKSHOP	1	2	domestic-WORKSHOP-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SHIPYARD	1	0	domestic-SHIPYARD-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SHIPYARD	1	1	domestic-SHIPYARD-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/SHIPYARD	1	2	domestic-SHIPYARD-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BRONZE_TERRACE	1	0	domestic-BRONZE_TERRACE-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BRONZE_TERRACE	1	1	domestic-BRONZE_TERRACE-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
domestic/BRONZE_TERRACE	1	2	domestic-BRONZE_TERRACE-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CAMP	0	0	military-CAMP-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CAMP	0	1	military-CAMP-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CAMP	0	2	military-CAMP-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/ARROW_TOWER	0	0	military-ARROW_TOWER-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/ARROW_TOWER	0	1	military-ARROW_TOWER-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/ARROW_TOWER	0	2	military-ARROW_TOWER-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/MUSIC	0	0	military-MUSIC-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/MUSIC	0	1	military-MUSIC-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/MUSIC	0	2	military-MUSIC-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_SEED	0	0	military-FIRE_SEED-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_SEED	0	1	military-FIRE_SEED-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_SEED	0	2	military-FIRE_SEED-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FORT	0	0	military-FORT-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FORT	0	1	military-FORT-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FORT	0	2	military-FORT-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FORTRESS	0	0	military-FORTRESS-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FORTRESS	0	1	military-FORTRESS-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FORTRESS	0	2	military-FORTRESS-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CROSSBOW_TOWER	0	0	military-CROSSBOW_TOWER-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CROSSBOW_TOWER	0	1	military-CROSSBOW_TOWER-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CROSSBOW_TOWER	0	2	military-CROSSBOW_TOWER-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CATAPULT_TOWER	0	0	military-CATAPULT_TOWER-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CATAPULT_TOWER	0	1	military-CATAPULT_TOWER-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/CATAPULT_TOWER	0	2	military-CATAPULT_TOWER-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/DRUM	0	0	military-DRUM-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/DRUM	0	1	military-DRUM-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/DRUM	0	2	military-DRUM-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/STONE_MAZE	0	0	military-STONE_MAZE-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/STONE_MAZE	0	1	military-STONE_MAZE-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/STONE_MAZE	0	2	military-STONE_MAZE-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/EARTH_WALL	0	0	military-EARTH_WALL-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/EARTH_WALL	0	1	military-EARTH_WALL-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/EARTH_WALL	0	2	military-EARTH_WALL-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/STONE_WALL	0	0	military-STONE_WALL-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/STONE_WALL	0	1	military-STONE_WALL-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/STONE_WALL	0	2	military-STONE_WALL-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_BALL	0	0	military-FIRE_BALL-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_BALL	0	1	military-FIRE_BALL-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_BALL	0	2	military-FIRE_BALL-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FLAME_SEED	0	0	military-FLAME_SEED-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FLAME_SEED	0	1	military-FLAME_SEED-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FLAME_SEED	0	2	military-FLAME_SEED-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FLAME_BALL	0	0	military-FLAME_BALL-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FLAME_BALL	0	1	military-FLAME_BALL-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FLAME_BALL	0	2	military-FLAME_BALL-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/INFERNO_SEED	0	0	military-INFERNO_SEED-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/INFERNO_SEED	0	1	military-INFERNO_SEED-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/INFERNO_SEED	0	2	military-INFERNO_SEED-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/INFERNO_BALL	0	0	military-INFERNO_BALL-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/INFERNO_BALL	0	1	military-INFERNO_BALL-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/INFERNO_BALL	0	2	military-INFERNO_BALL-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_SHIP	0	0	military-FIRE_SHIP-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_SHIP	0	1	military-FIRE_SHIP-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/FIRE_SHIP	0	2	military-FIRE_SHIP-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/DAM	0	0	military-DAM-1-lod0	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/DAM	0	1	military-DAM-1-lod1	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
military/DAM	0	2	military-DAM-1-lod2	construction/complete/damage/fire/deleted	TRANSITIONAL_ART
